Entity,Negative,Positive,total_mention
Pemerintah Pusat,179,131,310
Kepolisian RI,91,96,187
Bea Cukai,156,25,181
Kementerian Keuangan (Kemenkeu),46,9,55
Kementerian Hukum dan HAM (Kemenkumham),1,43,44
Kementerian Agama (Kemenag),33,7,40
Kementerian BUMN (KemenBUMN),28,7,35
Dewan Perwakilan Rakyat (DPR),25,7,32
Kementerian Kominfo,18,13,31
Kementerian Kelautan dan Perikanan (Kemen KKP),1,30,31
Pemerintah Daerah (Pemda),13,15,28
KPK,25,2,27
Kementerian Perhubungan (Kemenhub),27,0,27
Kementerian Kesehatan (Kemenkes),24,3,27
Ombudsman RI,0,24,24
Pemadam Kebakaran,2,20,22
TNI,13,8,21
Dinas Kependudukan dan Pencatatan Sipil (Disdukcapil),7,13,20
Badan Pengawas Obat dan Makanan (BPOM),7,13,20
Badan Pengawas Keuangan (BPK),16,4,20
Kementerian Perindustrian (Kemenperin),16,3,19
Dinas Perhubungan,9,10,19
Kementerian Pertanian (Kementan),16,2,18
Pembangkit Listrik Negara (PLN),2,16,18
Dinas Sosial,6,11,17
Pemerintah Provinsi (Pemprov),1,16,17
Dinas Kesehatan,8,8,16
Pemerintah Kabupaten/Kota (Pemkab/Pemkot),2,13,15
Pos Indonesia,3,10,13
Kementerian Pendidikan dan Kebudayaan (Kemendikbud),10,3,13
Kementerian Agraria dan Tata Ruang (ATRBPN),4,8,12
Bank Indonesia (BI),2,10,12
Kantor Pertanahan,0,11,11
KemnakerRI,10,1,11
Kementerian Perdagangan (Kemendag),6,4,10
Badan Narkotika Nasional (BNN),0,10,10
Kementerian PUPR (KemenPUPR),3,6,9
Kementerian Pariwisata (Kemenpar),5,3,8
Dinas Perkebunan,0,8,8
Dinas Pertanian,1,7,8
TASPEN,0,7,7
DesaBisa,0,7,7
Dinas Ketahanan Pangan,0,7,7
Kejaksaan RI,2,5,7
Dinas Lingkungan Hidup,0,6,6
kementrian,6,0,6
Satpol PP,5,1,6
Dinas Pariwisata,4,2,6
